ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,peTTM,pbMRQ,psTTM,pcfNcfTTM
600519.SH,20160108,204.17,208.0,200.0,204.63,202.23,2.4,1.19,44510.09,911812.833,15.984948,4.295137,7.610091,30.833062
600519.SH,20160111,203.16,203.79,199.4,199.86,204.63,-4.77,-2.33,29702.58,596838.948,15.612333,4.195016,7.432697,30.114332
600519.SH,20160112,201.1,202.1,196.0,196.79,199.86,-3.07,-1.54,40287.23,801495.583,15.372516,4.130578,7.318525,29.651753
600519.SH,20160113,199.1,206.0,198.6,199.78,196.79,2.99,1.52,29201.98,592420.624,15.606084,4.193337,7.429722,30.102278
600519.SH,20160114,197.11,205.98,195.51,204.82,199.78,5.04,2.52,34776.06,699341.426,15.999790,4.299125,7.617157,30.861691
600519.SH,20160115,204.75,206.18,198.0,199.0,204.82,-5.82,-2.84,26681.19,537750.009,15.545153,4.176965,7.400714,29.984750
600519.SH,20160118,198.0,202.4,197.2,199.43,199.0,0.43,0.22,27371.23,548614.385,15.578743,4.185991,7.416706,30.049541
600519.SH,20160119,201.0,210.33,200.01,210.24,199.43,10.81,5.42,59110.22,1224859.286,16.423181,4.412890,7.818724,31.678361
600519.SH,20160120,207.0,210.16,201.01,202.32,210.24,-7.92,-3.77,40968.66,835946.965,15.804499,4.246651,7.524183,30.484998
600519.SH,20160121,201.26,204.59,199.9,200.26,202.32,-2.06,-1.02,21832.29,439737.651,15.643580,4.203412,7.447573,30.174603
600519.SH,20160122,203.11,203.4,198.81,202.74,200.26,2.48,1.24,22733.48,456952.021,15.837308,4.255467,7.539803,30.548282
600519.SH,20160125,203.0,203.49,201.5,202.77,202.74,0.03,0.01,13750.45,278273.547,15.839652,4.256096,7.540919,30.552803
600519.SH,20160126,200.99,204.47,198.5,199.01,202.77,-3.76,-1.85,22280.92,448487.464,15.545934,4.177175,7.401086,29.986257
600519.SH,20160127,199.98,200.89,195.7,199.93,199.01,0.92,0.46,29840.41,589842.577,15.617801,4.196485,7.435300,30.124880
600519.SH,20160128,199.75,199.75,195.62,196.64,199.93,-3.29,-1.65,17903.0,353744.037,15.360799,4.127429,7.312947,29.629152
600519.SH,20160129,197.48,202.5,197.0,200.65,196.64,4.01,2.04,23090.24,461975.279,15.674045,4.211598,7.462077,30.233367
600519.SH,20160201,202.1,202.8,199.89,201.29,200.65,0.64,0.32,19178.02,386028.337,15.724040,4.225031,7.485878,30.329801
600519.SH,20160202,202.0,204.8,200.64,204.55,201.29,3.26,1.62,17842.08,362596.993,15.978699,4.293458,7.607116,30.821008
600519.SH,20160203,202.58,204.56,201.5,203.66,204.55,-0.89,-0.44,15156.99,307933.687,15.909175,4.274777,7.574017,30.686905
600519.SH,20160204,204.8,205.88,203.54,204.99,203.66,1.33,0.65,16624.75,340315.128,16.013070,4.302694,7.623479,30.887306
600519.SH,20160205,204.99,205.18,202.53,203.87,204.99,-1.12,-0.55,14227.67,290691.678,15.925580,4.279185,7.581827,30.718548
600519.SH,20160215,200.0,203.0,199.6,200.41,203.87,-3.46,-1.7,19470.18,390748.384,15.655297,4.206560,7.453151,30.197205
600519.SH,20160216,200.56,208.0,200.56,203.92,200.41,3.51,1.75,19223.16,393326.285,15.929486,4.280235,7.583687,30.726081
600519.SH,20160217,203.74,204.92,200.51,202.3,203.92,-1.62,-0.79,20349.11,411126.979,15.802937,4.246231,7.523440,30.481984
600519.SH,20160218,203.2,203.6,201.1,201.71,202.3,-0.59,-0.29,18892.56,381696.249,15.756848,4.233847,7.501498,30.393085
600519.SH,20160219,201.62,203.18,201.13,203.11,201.71,1.4,0.69,14238.46,287755.552,15.866211,4.263233,7.553563,30.604033
600519.SH,20160222,206.0,208.32,206.0,207.8,203.11,4.69,2.31,27759.86,574540.624,16.232577,4.361675,7.727982,31.310709
600519.SH,20160223,207.77,214.98,207.02,212.41,207.8,4.61,2.22,37460.89,795824.522,16.592693,4.458438,7.899426,32.005330
600519.SH,20160224,212.2,218.03,211.01,217.74,212.41,5.33,2.51,33129.02,717612.347,17.009054,4.570313,8.097646,32.808439
600519.SH,20160225,218.8,220.48,212.13,212.41,217.74,-5.33,-2.45,39480.65,855036.777,16.592693,4.458438,7.899426,32.005330
600519.SH,20160226,213.1,219.25,211.26,216.84,212.41,4.43,2.09,28332.71,609924.298,16.938749,4.551422,8.064175,32.672830
600519.SH,20160229,218.99,220.88,206.8,214.91,216.84,-1.93,-0.89,47712.46,1022532.377,16.787984,4.510912,7.992399,32.382023
600519.SH,20160301,215.96,220.3,210.4,218.42,214.91,3.51,1.63,34004.59,736088.847,17.062173,4.584586,8.122935,32.910900
600519.SH,20160302,219.0,225.5,218.67,224.22,218.42,5.8,2.66,47942.66,1073462.814,17.515247,4.706327,8.338634,33.784827
600519.SH,20160303,225.0,231.98,221.66,227.81,224.22,3.59,1.6,40193.28,914557.333,17.795685,4.781680,8.472144,34.325758
600519.SH,20160304,226.88,240.16,225.01,238.78,227.81,10.97,4.82,85838.69,2007278.355,18.652621,5.011938,8.880113,35.978686
600519.SH,20160307,238.11,240.0,231.05,233.64,238.78,-5.14,-2.15,39345.55,924016.283,18.251103,4.904051,8.688959,35.204206
600519.SH,20160308,233.3,233.3,227.0,229.21,233.64,-4.43,-1.9,26147.22,600938.828,17.905048,4.811066,8.524210,34.536706
600519.SH,20160309,227.0,232.65,226.1,227.44,229.21,-1.77,-0.77,16402.6,375804.071,17.766782,4.773914,8.458384,34.270008
600519.SH,20160310,228.99,233.7,228.0,228.06,227.44,0.62,0.27,25727.46,593953.294,17.815214,4.786928,8.481442,34.363428
600519.SH,20160311,226.54,231.88,225.5,228.05,228.06,-0.01,0.0,16320.08,373343.712,17.814433,4.786718,8.481070,34.361921
600519.SH,20160314,230.76,233.5,222.2,224.57,228.05,-3.48,-1.53,45277.83,1029457.824,17.542588,4.713673,8.351650,33.837564
600519.SH,20160315,224.8,234.39,224.34,231.92,224.57,7.35,3.27,36356.33,832373.597,18.116743,4.867948,8.624993,34.945041
600519.SH,20160316,230.22,232.5,225.0,228.61,231.92,-3.31,-1.43,24250.97,555358.085,17.858178,4.798472,8.501896,34.446300
600519.SH,20160317,230.0,234.1,228.3,229.56,228.61,0.95,0.42,28820.95,665454.446,17.932389,4.818412,8.537226,34.589443
600519.SH,20160318,232.0,232.26,225.78,226.0,229.56,-3.56,-1.55,70568.94,1613934.123,17.654295,4.743689,8.404831,34.053033
600519.SH,20160321,226.66,232.02,226.65,231.98,226.0,5.98,2.65,38547.45,885665.711,18.121430,4.869208,8.627225,34.954082
600519.SH,20160322,232.26,238.18,231.5,234.49,231.98,2.51,1.08,41766.61,981582.397,18.317502,4.921892,8.720570,35.332281
600519.SH,20160323,235.2,237.0,232.68,234.97,234.49,0.48,0.2,21412.06,503035.65,18.354998,4.931967,8.738421,35.404607
600519.SH,20160324,235.0,245.4,231.3,242.66,234.97,7.69,3.27,62068.02,1487290.878,19.662464,4.768468,9.113829,31.158230
600519.SH,20160325,242.5,249.79,241.02,244.98,242.66,2.32,0.96,44756.16,1100326.15,19.850451,4.814058,9.200964,31.456124
600519.SH,20160328,244.98,253.38,244.98,249.58,244.98,4.6,1.88,48337.65,1207751.715,20.223184,4.904451,9.373731,32.046777
600519.SH,20160329,249.6,251.0,244.44,248.11,249.58,-1.47,-0.59,36688.05,911522.995,20.104072,4.875565,9.318520,31.858025
600519.SH,20160330,249.0,250.4,245.48,248.66,248.11,0.55,0.22,27782.6,688591.402,20.148637,4.886373,9.339177,31.928646
600519.SH,20160331,249.84,250.3,246.99,247.64,248.66,-1.02,-0.41,19457.34,483196.895,20.065988,4.866329,9.300868,31.797676
600519.SH,20160401,248.95,250.49,244.54,245.09,247.64,-2.55,-1.03,25146.07,620149.506,19.859364,4.816219,9.205095,31.470248
600519.SH,20160405,243.0,247.5,243.0,245.52,245.09,0.43,0.18,25047.85,615354.327,19.894207,4.824669,9.221245,31.525462
600519.SH,20160406,245.8,257.6,245.8,257.21,245.52,11.69,4.76,48424.92,1225137.02,20.841434,5.054387,9.660298,33.026491
600519.SH,20160407,256.89,257.48,252.62,254.11,257.21,-3.1,-1.21,25536.39,650128.766,20.590245,4.993469,9.543868,32.628442
600519.SH,20160408,252.0,255.89,248.2,249.86,254.11,-4.25,-1.67,23156.02,583704.015,20.245872,4.909954,9.384247,32.082730
600519.SH,20160411,250.5,255.18,243.5,243.72,249.86,-6.14,-2.46,119284.68,2930751.132,19.748355,4.789297,9.153641,31.294337
600519.SH,20160412,243.7,245.0,242.1,244.92,243.72,1.2,0.49,23339.09,568663.727,19.845589,4.812878,9.198710,31.448420
600519.SH,20160413,245.4,248.63,241.7,242.24,244.92,-2.68,-1.09,54274.25,1328412.389,19.628432,4.760214,9.098055,31.104300
600519.SH,20160414,242.38,244.83,241.0,242.76,242.24,0.52,0.21,28664.37,696651.874,19.670567,4.770433,9.117585,31.171070
600519.SH,20160415,242.64,244.98,241.2,244.9,242.76,2.14,0.88,19029.26,463404.859,19.843969,4.812485,9.197959,31.445852
600519.SH,20160418,242.8,246.0,242.5,243.68,244.9,-1.22,-0.5,18593.04,453989.128,19.745114,4.788511,9.152138,31.289200
600519.SH,20160419,244.59,245.19,241.45,243.18,243.68,-0.5,-0.21,14236.68,345816.837,19.704599,4.778686,9.133359,31.224999
600519.SH,20160420,243.19,244.4,235.8,238.44,243.18,-4.74,-1.95,33708.5,808354.333,19.320522,4.685541,8.955334,30.616370
600519.SH,20160421,240.5,242.3,238.3,240.37,238.44,1.93,0.81,29672.22,713190.665,18.839683,4.387644,8.642676,20.019267
600519.SH,20160422,241.0,247.88,240.37,247.4,240.37,7.03,2.92,35459.38,869560.47,19.390679,4.515968,8.895445,20.604762
600519.SH,20160425,247.12,248.1,243.3,244.52,247.4,-2.88,-1.16,24990.28,614481.805,19.164951,4.463397,8.791892,20.364900
600519.SH,20160426,244.95,246.88,243.0,243.86,244.52,-0.66,-0.27,15156.68,370224.914,19.113221,4.451350,8.768161,20.309932
600519.SH,20160427,244.5,245.48,243.49,244.88,243.86,1.02,0.42,13915.1,340092.448,19.193167,4.469968,8.804836,20.394883
600519.SH,20160428,245.83,246.74,244.0,246.44,244.88,1.56,0.64,17156.55,421012.81,19.315436,4.498444,8.860927,20.524808
600519.SH,20160429,247.39,252.43,247.39,251.2,246.44,4.76,1.93,46079.49,1155915.396,19.688515,4.585332,9.032076,20.921246
600519.SH,20160503,250.55,262.28,250.55,260.0,251.2,8.8,3.5,56474.86,1463972.63,20.378240,4.745965,9.348487,21.654156
600519.SH,20160504,260.0,262.39,255.99,256.21,260.0,-3.79,-1.46,28636.26,743425.17,20.081188,4.676783,9.212214,21.338505
600519.SH,20160505,256.5,258.15,255.5,257.77,256.21,1.56,0.61,13517.89,347050.356,20.203457,4.705259,9.268305,21.468430
600519.SH,20160506,257.31,258.52,251.12,252.22,257.77,-5.55,-2.15,27173.69,689911.421,19.768460,4.603951,9.068751,21.006197
600519.SH,20160509,250.13,252.8,249.01,250.82,252.22,-1.4,-0.56,27799.18,696784.543,19.658731,4.578395,9.018413,20.889597
600519.SH,20160510,249.5,254.0,249.11,252.08,250.82,1.26,0.5,33505.89,843441.777,19.757487,4.601395,9.063717,20.994537
600519.SH,20160511,252.35,260.48,252.35,256.87,252.08,4.79,1.9,49277.13,1268594.578,20.132917,4.688830,9.235945,21.393473
600519.SH,20160512,254.02,256.56,252.0,255.96,256.87,-0.91,-0.35,18894.11,480711.461,20.061593,4.672220,9.203225,21.317683
600519.SH,20160513,255.98,258.9,250.5,250.96,255.96,-5.0,-1.95,28145.61,714915.405,19.669704,4.580951,9.023447,20.901257
600519.SH,20160516,250.86,251.8,247.3,251.63,250.96,0.67,0.27,22202.73,553627.499,19.722217,4.593181,9.047537,20.957058
600519.SH,20160517,251.01,252.4,249.83,250.03,251.63,-1.6,-0.64,11785.69,295827.986,19.596813,4.563975,8.990008,20.823802
600519.SH,20160518,249.08,251.85,243.1,244.44,250.03,-5.59,-2.24,28380.34,700172.115,19.158681,4.461937,8.789016,20.358238
600519.SH,20160519,245.16,248.5,244.5,245.77,244.44,1.33,0.54,20889.43,514050.851,19.262923,4.486214,8.836837,20.469007
600519.SH,20160520,246.84,252.18,244.32,251.26,245.77,5.49,2.23,25501.57,638079.261,19.693218,4.586427,9.034234,20.926243
600519.SH,20160523,249.72,254.99,249.72,254.2,251.26,2.94,1.17,18706.18,474832.79,19.923648,4.640093,9.139943,21.171101
600519.SH,20160524,254.41,255.21,250.1,251.94,254.2,-2.26,-0.89,11674.4,294383.661,19.746514,4.598840,9.058683,20.982877
600519.SH,20160525,254.48,254.94,251.01,251.86,251.94,-0.08,-0.03,17785.34,450815.932,19.740244,4.597379,9.055807,20.976214
600519.SH,20160526,251.99,253.8,249.2,252.71,251.86,0.85,0.34,18120.26,454859.062,19.806865,4.612895,9.086369,21.047006
600519.SH,20160527,252.72,254.69,251.38,252.44,252.71,-0.27,-0.11,13230.44,334258.004,19.785703,4.607966,9.076661,21.024519
600519.SH,20160530,251.5,256.5,250.0,256.13,252.44,3.69,1.46,29806.92,756013.047,20.074918,4.675323,9.209338,21.331842
600519.SH,20160531,256.0,266.62,255.2,264.47,256.13,8.34,3.26,53949.65,1418668.247,20.728589,4.827559,9.509209,22.026441
600519.SH,20160601,265.4,265.5,263.0,263.79,264.47,-0.68,-0.26,21876.69,578184.009,20.675292,4.815146,9.484759,21.969807
600519.SH,20160602,263.01,268.68,263.01,267.74,263.79,3.95,1.5,24760.76,660335.572,20.984884,4.887248,9.626784,22.298783
600519.SH,20160603,267.0,286.74,266.4,283.89,267.74,16.15,6.03,64798.13,1806172.759,22.250687,5.182046,10.207469,23.643839
600519.SH,20160606,282.0,283.0,275.0,276.05,283.89,-7.84,-2.76,37261.66,1034692.86,21.636204,5.038937,9.925576,22.990883
600519.SH,20160607,276.5,278.49,275.01,277.85,276.05,1.8,0.65,18753.53,518246.021,21.777284,5.071793,9.990296,23.140797
600519.SH,20160608,276.4,277.86,273.5,274.28,277.85,-3.57,-1.28,23882.09,656530.776,21.497476,5.006628,9.861934,22.843468
600519.SH,20160613,273.35,276.66,266.25,267.06,274.28,-7.22,-2.63,37775.06,1030012.79,20.931587,4.874836,9.602334,22.242149
600519.SH,20160614,267.71,273.8,267.71,272.75,267.06,5.69,2.13,25587.29,696446.744,21.377557,4.978699,9.806922,22.716042
600519.SH,20160615,270.71,277.8,270.21,276.49,272.75,3.74,1.37,27322.01,752172.235,21.670691,5.046968,9.941396,23.027529
600519.SH,20160616,274.86,277.8,273.78,274.02,276.49,-2.47,-0.89,19643.57,540824.57,21.477097,5.001882,9.852586,22.821814
600519.SH,20160617,273.6,282.49,273.6,278.26,274.02,4.24,1.55,24705.18,689165.054,21.809419,5.079277,10.005038,23.174944
600519.SH,20160620,279.77,279.86,274.0,276.11,278.26,-2.15,-0.77,19019.26,523759.587,21.640907,5.040032,9.927733,22.995880
600519.SH,20160621,277.04,277.94,273.0,273.81,276.11,-2.3,-0.83,16749.33,460067.364,21.460638,4.998048,9.845035,22.804324
600519.SH,20160622,273.77,279.36,272.77,278.44,273.81,4.63,1.69,20884.48,577353.686,21.823527,5.082563,10.011510,23.189935
600519.SH,20160623,279.97,279.97,274.88,276.44,278.44,-2.0,-0.72,13984.51,386801.287,21.666772,5.046056,9.939599,23.023365
600519.SH,20160624,275.28,277.0,267.2,273.77,276.44,-2.67,-0.97,20129.51,550877.435,21.457503,4.997318,9.843597,22.800993
600519.SH,20160627,275.0,292.3,275.0,287.68,273.77,13.91,5.08,63642.69,1823624.051,22.547739,5.251227,10.343741,23.959490
600519.SH,20160628,287.02,289.66,286.32,288.21,287.68,0.53,0.18,24282.23,699351.511,22.589279,5.260902,10.362797,24.003631
600519.SH,20160629,287.55,289.45,284.2,288.18,288.21,-0.03,-0.01,28147.6,805690.468,22.586928,5.260354,10.361719,24.001133
600519.SH,20160630,290.02,298.2,290.02,291.92,288.18,3.74,1.3,38022.4,1116195.906,22.880061,5.328623,10.496193,24.312620
600519.SH,20160701,287.2,291.88,284.0,286.17,285.75,0.42,0.15,26014.95,746622.842,22.429388,5.223664,10.289448,23.833730
600519.SH,20160704,287.0,295.4,286.0,293.9,286.17,7.73,2.7,29488.64,859625.1,23.035249,5.364765,10.567385,24.477524
600519.SH,20160705,295.03,303.1,295.03,300.58,293.9,6.68,2.27,41707.73,1252985.739,23.558813,5.486700,10.807570,25.033870
600519.SH,20160706,299.8,318.0,299.01,317.19,300.58,16.61,5.53,47347.7,1463885.917,24.860669,5.789894,11.404794,26.417237
600519.SH,20160707,315.8,326.8,312.08,316.91,317.19,-0.28,-0.09,50725.2,1619384.207,24.838723,5.784783,11.394726,26.393917
600519.SH,20160708,313.53,315.5,306.16,309.91,316.91,-7.0,-2.21,45545.63,1412963.905,24.290078,5.657007,11.143036,25.810921
600519.SH,20160711,309.03,324.0,309.03,315.14,309.91,5.23,1.69,57481.67,1825388.22,24.699994,5.752474,11.331085,26.246502
600519.SH,20160712,315.76,326.6,315.0,324.73,315.14,9.59,3.04,53119.45,1712151.169,25.451638,5.927527,11.675900,27.045207
600519.SH,20160713,323.03,324.73,315.05,317.19,324.73,-7.54,-2.32,53448.28,1697002.627,24.860669,5.789894,11.404794,26.417237
600519.SH,20160714,316.09,320.8,315.2,317.09,317.19,-0.1,-0.03,29230.85,928017.845,24.852831,5.788069,11.401198,26.408908
